conceptId,conceptName,vocabularyId,conceptSetName,target
4047791,Abnormal body temperature,SNOMED,symptoms,Alternative diagnoses
377091,Seizure,SNOMED,symptoms,Alternative diagnoses
4187507,Psychomotor agitation,SNOMED,symptoms,Alternative diagnoses
4143065,Involuntary movement,SNOMED,symptoms,Alternative diagnoses
4164648,Slowness and poor responsiveness,SNOMED,symptoms,Alternative diagnoses
4114624,Coordination problem,SNOMED,symptoms,Alternative diagnoses
36714126,Difficulty walking,SNOMED,symptoms,Alternative diagnoses
441417,Incoordination,SNOMED,symptoms,Alternative diagnoses
4310235,Reduced mobility,SNOMED,symptoms,Alternative diagnoses
432436,Symbolic dysfunction,SNOMED,symptoms,Alternative diagnoses
4092743,Unsteady when standing,SNOMED,symptoms,Alternative diagnoses
75860,Constipation,SNOMED,symptoms,Alternative diagnoses
1112807,aspirin,RxNorm,drugs,Disease of interest
1322184,clopidogrel,RxNorm,drugs,Disease of interest
40163718,prasugrel,RxNorm,drugs,Disease of interest
40241186,ticagrelor,RxNorm,drugs,Disease of interest
1302398,ticlopidine,RxNorm,drugs,Disease of interest
46275677,cangrelor,RxNorm,drugs,Disease of interest
19047423,abciximab,RxNorm,drugs,Disease of interest
1322199,eptifibatide,RxNorm,drugs,Disease of interest
19017067,tirofiban,RxNorm,drugs,Disease of interest
1367571,heparin,RxNorm,drugs,Disease of interest
35884360,Heparin Sodium,RxNorm Extension,drugs,Disease of interest
1301025,enoxaparin,RxNorm,drugs,Disease of interest
1301065,dalteparin,RxNorm,drugs,Disease of interest
1315865,fondaparinux,RxNorm,drugs,Disease of interest
19084670,bivalirudin,RxNorm,drugs,Disease of interest
1310149,warfarin,RxNorm,drugs,Disease of interest
1347450,alteplase,RxNorm,drugs,Disease of interest
19024191,reteplase,RxNorm,drugs,Disease of interest
19136187,streptokinase,RxNorm,drugs,Disease of interest
19098548,tenecteplase,RxNorm,drugs,Disease of interest
1353766,propranolol,RxNorm,drugs,Disease of interest
1307046,metoprolol,RxNorm,drugs,Disease of interest
1314002,atenolol,RxNorm,drugs,Disease of interest
1338005,bisoprolol,RxNorm,drugs,Disease of interest
1346823,carvedilol,RxNorm,drugs,Disease of interest
902427,timolol,RxNorm,drugs,Disease of interest
19063575,esmolol,RxNorm,drugs,Disease of interest
1340128,captopril,RxNorm,drugs,Disease of interest
1341927,enalapril,RxNorm,drugs,Disease of interest
1308216,lisinopril,RxNorm,drugs,Disease of interest
1334456,ramipril,RxNorm,drugs,Disease of interest
1342001,enalaprilat,RxNorm,drugs,Disease of interest
1335471,benazepril,RxNorm,drugs,Disease of interest
1331235,quinapril,RxNorm,drugs,Disease of interest
1373225,perindopril,RxNorm,drugs,Disease of interest
1363749,fosinopril,RxNorm,drugs,Disease of interest
1342439,trandolapril,RxNorm,drugs,Disease of interest
1347384,irbesartan,RxNorm,drugs,Disease of interest
1367500,losartan,RxNorm,drugs,Disease of interest
1308842,valsartan,RxNorm,drugs,Disease of interest
1351557,candesartan,RxNorm,drugs,Disease of interest
1317640,telmisartan,RxNorm,drugs,Disease of interest
40226742,olmesartan,RxNorm,drugs,Disease of interest
1346686,eprosartan,RxNorm,drugs,Disease of interest
40235485,azilsartan,RxNorm,drugs,Disease of interest
970250,spironolactone,RxNorm,drugs,Disease of interest
1309799,eplerenone,RxNorm,drugs,Disease of interest
1545958,atorvastatin,RxNorm,drugs,Disease of interest
1539403,simvastatin,RxNorm,drugs,Disease of interest
1510813,rosuvastatin,RxNorm,drugs,Disease of interest
1526475,ezetimibe,RxNorm,drugs,Disease of interest
1551860,pravastatin,RxNorm,drugs,Disease of interest
1592085,lovastatin,RxNorm,drugs,Disease of interest
1549686,fluvastatin,RxNorm,drugs,Disease of interest
40165636,pitavastatin,RxNorm,drugs,Disease of interest
1361711,nitroglycerin,RxNorm,drugs,Disease of interest
1383925,isosorbide dinitrate,RxNorm,drugs,Disease of interest
1383815,isosorbide,RxNorm,drugs,Disease of interest
1110410,morphine,RxNorm,drugs,Disease of interest
1154029,fentanyl,RxNorm,drugs,Disease of interest
19113045,heparinoids,RxNorm,drugs,Disease of interest
1337720,dobutamine,RxNorm,drugs,Disease of interest
1126658,hydromorphone,RxNorm,drugs,Disease of interest
40241331,rivaroxaban,RxNorm,drugs,Disease of interest
1309944,amiodarone,RxNorm,drugs,Disease of interest
1328165,diltiazem,RxNorm,drugs,Disease of interest
1370109,sotalol,RxNorm,drugs,Disease of interest
1319998,acebutolol,RxNorm,drugs,Disease of interest
1314577,nebivolol,RxNorm,drugs,Disease of interest
932745,bumetanide,RxNorm,drugs,Disease of interest
942350,torsemide,RxNorm,drugs,Disease of interest
1307542,mexiletine,RxNorm,drugs,Disease of interest
46275719,sacubitril,RxNorm,drugs,Disease of interest
1551803,fenofibrate,RxNorm,drugs,Disease of interest
1560305,omega-3 acid ethyl esters (USP),RxNorm,drugs,Disease of interest
37499009,bempedoic acid,RxNorm,drugs,Disease of interest
46275447,alirocumab,RxNorm,drugs,Disease of interest
46287466,evolocumab,RxNorm,drugs,Disease of interest
42874246,icosapent ethyl,RxNorm,drugs,Disease of interest
1112807,aspirin,RxNorm,drugs,Alternative diagnoses
1322184,clopidogrel,RxNorm,drugs,Alternative diagnoses
40241186,ticagrelor,RxNorm,drugs,Alternative diagnoses
40163718,prasugrel,RxNorm,drugs,Alternative diagnoses
1302398,ticlopidine,RxNorm,drugs,Alternative diagnoses
1367571,heparin,RxNorm,drugs,Alternative diagnoses
19069137,bemiparin,RxNorm,drugs,Alternative diagnoses
35829525,Heparin Sodium Injectable Solution,RxNorm Extension,drugs,Alternative diagnoses
1301025,enoxaparin,RxNorm,drugs,Alternative diagnoses
1301065,dalteparin,RxNorm,drugs,Alternative diagnoses
1308473,tinzaparin,RxNorm,drugs,Alternative diagnoses
1310149,warfarin,RxNorm,drugs,Alternative diagnoses
43013024,apixaban,RxNorm,drugs,Alternative diagnoses
45892847,edoxaban,RxNorm,drugs,Alternative diagnoses
40241331,rivaroxaban,RxNorm,drugs,Alternative diagnoses
40228152,dabigatran etexilate,RxNorm,drugs,Alternative diagnoses
